iter	Passed	Remaining
0	22	22179
1	41	20889
2	61	20275
3	82	20525
4	107	21328
5	126	21008
6	145	20626
7	163	20272
8	184	20310
9	202	20065
10	222	20023
11	241	19919
12	262	19942
13	282	19890
14	301	19828
15	323	19892
16	343	19867
17	365	19941
18	386	19970
19	407	19960
20	429	20004
21	449	19986
22	469	19941
23	491	19971
24	509	19887
25	530	19865
26	551	19881
27	573	19893
28	592	19840
29	613	19838
30	635	19876
31	658	19923
32	679	19920
33	701	19935
34	724	19980
35	745	19956
36	767	19966
37	788	19968
38	811	19989
39	838	20124
40	857	20068
41	883	20155
42	904	20136
43	928	20179
44	952	20213
45	973	20190
46	994	20163
47	1014	20124
48	1035	20096
49	1056	20075
50	1076	20039
51	1110	20252
52	1142	20414
53	1190	20848
54	1221	20984
55	1241	20922
56	1264	20914
57	1287	20907
58	1306	20835
59	1329	20823
60	1349	20773
61	1371	20747
62	1392	20711
63	1413	20677
64	1435	20654
65	1455	20595
66	1478	20593
67	1498	20542
68	1518	20483
69	1538	20433
70	1558	20397
71	1578	20349
72	1599	20314
73	1619	20262
74	1639	20219
75	1660	20194
76	1683	20176
77	1703	20138
78	1723	20091
79	1745	20071
80	1767	20048
81	1787	20015
82	1809	19996
83	1832	19981
84	1853	19952
85	1875	19929
86	1894	19886
87	1916	19859
88	1938	19841
89	1959	19812
90	1979	19774
91	2000	19741
92	2022	19728
93	2042	19687
94	2063	19659
95	2084	19631
96	2106	19607
97	2128	19590
98	2149	19559
99	2168	19515
100	2190	19496
101	2211	19473
102	2233	19448
103	2252	19407
104	2275	19394
105	2295	19360
106	2315	19324
107	2339	19322
108	2360	19296
109	2381	19270
110	2404	19261
111	2424	19221
112	2445	19193
113	2469	19190
114	2494	19196
115	2520	19206
116	2544	19206
117	2570	19212
118	2595	19215
119	2622	19229
120	2643	19205
121	2665	19184
122	2687	19164
123	2708	19135
124	2733	19135
125	2756	19122
126	2780	19114
127	2805	19112
128	2828	19097
129	2852	19091
130	2875	19077
131	2901	19078
132	2924	19064
133	2948	19058
134	2973	19052
135	2995	19033
136	3017	19010
137	3040	18991
138	3062	18968
139	3084	18948
140	3109	18946
141	3133	18935
142	3157	18922
143	3180	18904
144	3204	18895
145	3229	18889
146	3252	18873
147	3272	18841
148	3294	18817
149	3316	18792
150	3337	18764
151	3359	18741
152	3380	18714
153	3400	18680
154	3419	18642
155	3441	18617
156	3464	18600
157	3484	18566
158	3507	18554
159	3530	18534
160	3551	18508
161	3573	18486
162	3593	18451
163	3614	18424
164	3636	18403
165	3656	18370
166	3678	18349
167	3699	18319
168	3722	18305
169	3741	18268
170	3762	18239
171	3783	18212
172	3805	18190
173	3824	18153
174	3843	18120
175	3866	18100
176	3886	18069
177	3907	18045
178	3929	18025
179	3950	17996
180	3972	17973
181	3994	17952
182	4014	17920
183	4035	17895
184	4055	17865
185	4078	17848
186	4100	17829
187	4121	17799
188	4143	17780
189	4165	17757
190	4188	17739
191	4211	17722
192	4232	17699
193	4256	17682
